Nome	yValue	Quinta	Quarta	terza	seconda	prima	allaZero
44	1	0	0	0	0	0	1
44	1	0	0	0	0	1	0
44	0	0	0	0	0	1	1
44	1	0	0	0	1	0	0
44	0	0	0	0	1	0	1
44	1	0	0	0	1	1	0
44	0	0	0	0	1	1	1
44	0	0	0	1	0	0	0
44	0	0	0	1	0	0	1
44	1	0	0	1	0	1	0
44	0	0	0	1	0	1	1
44	1	0	0	1	1	0	0
44	0	0	0	1	1	0	1
44	0	0	0	1	1	1	0
44	0	0	0	1	1	1	1
44	1	0	1	0	0	0	0
44	0	0	1	0	0	0	1
44	1	0	1	0	0	1	0
44	0	0	1	0	0	1	1
44	0	0	1	0	1	0	0
44	0	0	1	0	1	0	1
44	1	0	1	0	1	1	0
44	0	0	1	0	1	1	1
44	0	0	1	1	0	0	0
44	0	0	1	1	0	0	1
44	0	0	1	1	0	1	0
44	0	0	1	1	0	1	1
44	1	0	1	1	1	0	0
44	0	0	1	1	1	0	1
44	1	0	1	1	1	1	0
44	0	0	1	1	1	1	1
44	0	1	0	0	0	0	0
44	0	1	0	0	0	0	1
44	0	1	0	0	0	1	0
44	0	1	0	0	0	1	1
44	1	1	0	0	1	0	0
44	0	1	0	0	1	0	1
44	0	1	0	0	1	1	0
44	0	1	0	0	1	1	1
44	1	1	0	1	0	0	0
44	0	1	0	1	0	0	1
44	1	1	0	1	0	1	0
44	0	1	0	1	0	1	1
44	0	1	0	1	1	0	0
